hebergement_id,nom_fictif,latitude_fictive,longitude_fictive,places_disponibles,accueil_nuit,horaires_admission,enfant_accepte,capacite_enfants
H001,Hébergement fictif 01,43.44578,5.20564,1,Oui,24h/24,Oui,1
H002,Hébergement fictif 02,43.29071,5.23003,1,Non,09:00-19:00,Non,0
H003,Hébergement fictif 03,43.21607,5.45699,1,Oui,24h/24,Oui,1
H004,Hébergement fictif 04,43.23356,4.78772,1,Oui,24h/24,Non,0
H005,Hébergement fictif 05,43.26231,5.99068,1,Oui,24h/24,Oui,1
H006,Hébergement fictif 06,43.14148,4.84653,1,Non,09:00-19:00,Oui,1
H007,Hébergement fictif 07,42.97714,5.35889,2,Oui,24h/24,Non,0
H008,Hébergement fictif 08,42.84367,5.69532,1,Non,08:00-18:00,Non,0
H009,Hébergement fictif 09,43.41146,6.00456,0,Oui,24h/24,Oui,1
H010,Hébergement fictif 10,43.2576,4.70746,1,Oui,24h/24,Non,0
H011,Hébergement fictif 11,42.90712,5.25753,2,Oui,24h/24,Non,0
H012,Hébergement fictif 12,43.43651,5.26352,2,Non,09:00-19:00,Non,0
H013,Hébergement fictif 13,43.51182,5.8122,3,Oui,24h/24,Non,0
H014,Hébergement fictif 14,43.34376,5.26167,2,Oui,24h/24,Oui,1
H015,Hébergement fictif 15,43.44999,5.68917,3,Oui,24h/24,Oui,1
H016,Hébergement fictif 16,43.1614,5.08792,1,Oui,24h/24,Non,0
H017,Hébergement fictif 17,43.40952,5.35793,1,Oui,24h/24,Oui,1
H018,Hébergement fictif 18,43.62786,4.8001,1,Oui,24h/24,Non,0
H019,Hébergement fictif 19,43.37295,4.81513,0,Non,09:00-19:00,Oui,1
H020,Hébergement fictif 20,43.23121,5.239,0,Oui,24h/24,Non,0
H021,Hébergement fictif 21,43.24744,5.25871,1,Non,09:00-19:00,Oui,1
H022,Hébergement fictif 22,43.58712,5.16595,0,Oui,24h/24,Oui,1
H023,Hébergement fictif 23,43.43591,5.33645,1,Oui,24h/24,Oui,1
H024,Hébergement fictif 24,43.61944,5.83818,1,Non,08:00-18:00,Non,0
H025,Hébergement fictif 25,43.09207,5.26718,2,Non,09:00-19:00,Non,0
H026,Hébergement fictif 26,43.70908,5.46116,0,Non,09:00-19:00,Non,0
H027,Hébergement fictif 27,43.43266,5.38051,3,Oui,24h/24,Non,0
H028,Hébergement fictif 28,43.21717,5.58714,3,Non,08:00-20:00,Oui,1
H029,Hébergement fictif 29,43.46847,5.97653,3,Oui,24h/24,Oui,1
H030,Hébergement fictif 30,43.4093,5.5295,0,Oui,24h/24,Oui,1
